node x y
1 994.4 380
2 942.4 380.8
3 908.8 360.8
4 897.6 329.6
5 943.2 260.8
6 936.0 243.2
7 864.0 190.4
8 824.8 168.8
9 703.2 158.4
10 707.2 106.4
11 710.4 54.4
12 938.4 404.0
13 912.8 432.8
14 915.2 524.0
15 852.8 551.2
16 843.2 558.4
17 873.6 641.6
18 844.0 660.0
19 736.8 647.2
20 563.2 632.8
21 380.8 616.8
22 298.4 612.8
23 225.6 605.6
24 228.8 572.8
25 229.6 544.8
26 232.0 471.2
27 238.4 404.8
28 240.8 347.2
29 247.2 272.8
30 250.4 228.0
31 253.6 160.0
32 256.0 117.8
33 256.0 72.0
34 262.4 32.8
35 250.4 20.0
36 243.2 45.6
37 207.2 44.0
38 1230.4 524.0
39 1276 576.8
40 1302.4 587.2
41 1352.8 428.8
42 1324.8 212.8
43 1371.2 200.0
44 732.8 80
45 732.8 168
46 732 240.8
47 735.2 313.6
48 689.6 240.8
49 688 314.4
50 691.2 349.6
51 736 352
52 781.6 318.4
53 780 345.6
54 826.4 312.8
55 826.4 346.4
56 868 312.8
57 870.4 342.4
58 913.6 314.4
59 909.6 347.2
60 944 312
61 945.6 345.6
62 777.6 238.4
63 776.8 172
64 824 248.8
65 824.8 172
66 867.2 250.4
67 862.4 168
68 906.4 253.6
69 903.2 168.8
70 941.6 251.2
71 943.2 169.6
72 644 382
73 692 382.4
74 735.2 384.8
75 782.4 381.6
76 829.6 381.6 
77 864 384.8
78 902.4 380.8
79 943.2 381.6
80 648 430
81 648 487.2
82 691.2 437.6
83 692.8 484
84 738.4 436.8
85 735.2 485.6
86 779.2 440
87 782.4 482.4
88 829.6 435.2 
89 828 488
90 868 436
91 870.4 482.4
92 578.4 540
93 607.2 583.2
94 651.2 533.6
95 650.4 581.6
96 692 530.4
97 693.6 584
98 736.8 533.6
99 737.6 582.4
100 783.2 536.8
101 786.4 584.8
102 831.2 536.8
103 832 587.2
104 855.2 519.2
105 876.8 565.6 
106 608 634
107 649.6 637.6
108 697.6 636
109 739.2 638.4
110 784.8 636
111 832 637.6
112 880.8 635.2
113 604.8 686.4
114 650 686
115 693.6 687.2 
116 742.4 688
117 787.2 684
118 836 692
119 885.6 685.6
120 607.2 742.4
121 654.4 741.6
122 698.4 738.4
123 748.8 740.8
124 788.8 740.8
125 829.6 740.8
126 887.2 738.4
127 614.4 793.6
128 656.8 793.6
129 702.4 792.8
130 745.6 792.8
131 786.4 792
132 836 790.4
133 885.6 787.2
