k....
1 2 3
2 3 3
3 4 2
4 5 5
5 6 3
6 7 3
7 8 4
8 9 4
9 10 4
10 11 4
2 12 4
12 13 4
13 14 4
14 15 2
15 16 2
16 17 2
17 18 2
18 19 2
19 20 2
20 21 2
21 22 2
22 23 2
23 24 2
24 25 2
25 26 2
26 27 2
27 28 2 
28 29 2
29 30 2
30 31 2
31 32 2
32 33 4
33 34 4
34 35 2
35 36 8
36 37 8
37 38 4
36 37 4
37 38 4
38 39 4
39 40 4
40 85 22
37 39 411
40 41 4
41 42 4
42 43 2
43 44 41
44 45 41
42 45 211
45 46 411
46 47 411
42 48 4111
48 49 411
47 49 211
49 33 211
49 50 211
50 34 211
51 50 211
51 53 211
52 53 211
37 52 211
52 53 211
53 55 211
52 54 211
54 55 211
55 57 211
54 56 211
56 57 211
57 59 211
56 58 211
58 59 211
59 61 211
58 60 211
60 61 211
52 62 411
62 63 411
54 64 411
64 65 411
56 66 411
66 67 411
45 63 311
63 65 311
65 67 311
67 69 311
69 71 311
58 68 411
68 69 411
60 70 411
70 71 411
72 73 311
73 74 311
74 75 311
75 76 311
76 77 311
77 78 311
78 79 311
79 61 211
78 59 211
77 57 211
76 55 211
75 53 211
74 51 211
73 50 211
72 73 211
81 30 511
81 83 211
81 80 311
83 82 311
83 85 211
85 87 211
87 89 211
89 91 211
85 84 311
87 86 311
89 88 311
91 90 311
92 30 311
92 93 311
81 94 311
94 95 311
83 96 311
96 97 311
85 98 311
98 99 311
87 100 311
101 100 311
89 102 311
102 103 311
91 104 311
104 105 311
106 113 311
106 107 311
107 108 311
107 114 311
108 115 311
108 109 311
109 116 311
110 109 311
110 117 311
110 111 311
111 118 311
111 112 311
112 119 311
113 114 311
113 120 311
114 115 311
114 121 31
115 122 311
115 116 311
116 123 311
117 116 311
117 124 311
117 118 311
118 125 311
118 119 311
119 126 311
120 121 311
120 127 311
121 122 311
121 128 311
122 123 311
122 129 311
123 124 131
123 130 311
124 125 311
124 131 311
125 16 311
125 132 311
126 133 31
 
